method;model;instance;sat;time;nodes;propagations;memory
CP;rot_model;rotation_test;true;0.0;8;422;0.0
CP;dup_sym_model;8x8;true;0.001;3;150;0.0
CP;dup_sym_model;9x9;true;0.001;5;357;0.0
CP;dup_sym_model;10x10;true;0.001;5;461;0.0
CP;dup_sym_model;11x11;true;0.006;10;1265;0.0
CP;dup_sym_model;12x12;true;0.004;45;8116;0.0
CP;dup_sym_model;13x13;true;0.001;11;2159;0.0
CP;dup_sym_model;14x14;true;0.011;19;2599;0.0
CP;dup_sym_model;15x15;true;0.02;142;27081;0.0
CP;dup_sym_model;16x16;true;0.002;9;1814;0.0
CP;dup_sym_model;17x17;true;0.01;80;24551;0.0
CP;dup_sym_model;18x18;true;0.005;26;5218;0.0
CP;dup_sym_model;19x19;true;0.043;316;91564;0.0
CP;dup_sym_model;20x20;true;0.057;536;123172;0.0
CP;dup_sym_model;21x21;true;0.338;900;304328;0.0
CP;dup_sym_model;22x22;true;0.186;544;190132;0.0
CP;dup_sym_model;23x23;true;7.614;19260;9171901;0.0
CP;dup_sym_model;24x24;true;0.516;1488;638669;0.0
CP;dup_sym_model;25x25;true;4.865;12490;4788188;0.0
CP;dup_sym_model;26x26;true;1.409;3595;2087114;0.0
CP;dup_sym_model;27x27;true;2.361;4784;3049562;0.0
CP;dup_sym_model;28x28;true;5.475;12410;6058207;0.0
CP;dup_sym_model;29x29;true;9.348;19882;12918825;0.0
CP;dup_sym_model;30x30;true;0.095;287;100741;0.0
CP;dup_sym_model;31x31;true;0.229;916;301542;0.0
CP;dup_sym_model;32x32;true;0.252;387;267579;0.0
CP;dup_sym_model;33x33;true;0.477;1580;770610;0.0
CP;dup_sym_model;34x34;true;0.593;1701;827950;0.0
CP;dup_sym_model;35x35;true;0.472;1752;935117;0.0
CP;dup_sym_model;36x36;true;5.979;14412;8047902;0.0
CP;dup_sym_model;37x37;true;52.361;94388;48406756;0.0
CP;dup_sym_model;38x38;true;1.842;6150;2711326;0.0
CP;dup_sym_model;39x39;true;242.096;375575;235754553;0.0
CP;dup_sym_model;40x40;true;3.396;7408;3362652;0.0
CP;dup_sym_model;rotation_test;false;-;-;-;-
CP;rot_sym_model;8x8;true;0.001;6;617;0.0
CP;rot_sym_model;9x9;true;0.001;8;1209;0.0
CP;rot_sym_model;10x10;true;0.004;9;1614;0.0
CP;rot_sym_model;11x11;true;0.002;15;3303;0.0
CP;rot_sym_model;12x12;true;0.02;98;41544;0.0
CP;rot_sym_model;13x13;true;0.006;29;9686;0.0
CP;rot_sym_model;14x14;true;0.007;25;8707;0.0
CP;rot_sym_model;15x15;true;0.016;67;36917;0.0
CP;rot_sym_model;16x16;true;0.005;18;6954;0.0
CP;rot_sym_model;17x17;true;0.054;172;144085;0.0
CP;rot_sym_model;18x18;true;6.256;16229;10835714;0.0
CP;rot_sym_model;19x19;true;0.072;343;177304;0.0
CP;rot_sym_model;20x20;true;0.072;216;155813;0.0
CP;rot_sym_model;21x21;true;0.092;282;171238;0.0
CP;rot_sym_model;22x22;true;0.089;142;120023;0.0
CP;rot_sym_model;23x23;true;50.231;84786;67222960;0.0
CP;rot_sym_model;24x24;true;2.629;4305;3829157;0.0
CP;rot_sym_model;25x25;true;1.636;3268;2502639;0.0
CP;rot_sym_model;26x26;true;16.392;25167;20198711;0.0
CP;rot_sym_model;27x27;true;75.713;92814;98743399;0.0
CP;rot_sym_model;28x28;true;9.897;11008;12137938;0.0
CP;rot_sym_model;29x29;true;13.392;20629;22838424;0.0
CP;rot_sym_model;30x30;true;0.409;679;696482;0.0
CP;rot_sym_model;31x31;true;5.386;10221;8993129;0.0
CP;rot_sym_model;32x32;true;109.602;116283;151800684;0.0
CP;rot_sym_model;33x33;true;1.136;1704;2066471;0.0
CP;rot_sym_model;34x34;true;34.985;40978;45436467;0.0
CP;rot_sym_model;35x35;true;12.991;18472;19219173;0.0
CP;rot_sym_model;36x36;true;212.73;217539;265720097;0.0
CP;rot_sym_model;37x37;true;42.944;56905;61576669;0.0
CP;rot_sym_model;38x38;true;0.863;1660;1812527;0.0
CP;rot_sym_model;39x39;true;4487.299;7970705;9871119474;0.0
CP;rot_sym_model;40x40;true;35.196;48956;52211662;0.0
CP;rot_sym_model;rotation_test;true;0.0;4;377;0.0
CP;dup_rot_sym_model;8x8;true;0.001;6;704;0.0
CP;dup_rot_sym_model;9x9;true;0.001;8;1385;0.0
CP;dup_rot_sym_model;10x10;true;0.001;9;1861;0.0
CP;dup_rot_sym_model;11x11;true;0.008;15;3815;0.0
CP;dup_rot_sym_model;12x12;true;0.016;98;46406;0.0
CP;dup_rot_sym_model;13x13;true;0.007;29;11036;0.0
CP;dup_rot_sym_model;14x14;true;0.005;25;9711;0.0
CP;dup_rot_sym_model;15x15;true;0.037;67;39702;0.0
CP;dup_rot_sym_model;16x16;true;0.006;18;8008;0.0
CP;dup_rot_sym_model;17x17;true;0.104;172;156596;0.0
CP;dup_rot_sym_model;18x18;true;3.629;9607;6843426;0.0
CP;dup_rot_sym_model;19x19;true;0.089;343;204080;0.0
CP;dup_rot_sym_model;20x20;true;0.058;216;174629;0.0
CP;dup_rot_sym_model;21x21;true;0.103;282;195347;0.0
CP;dup_rot_sym_model;22x22;true;0.059;142;131788;0.0
CP;dup_rot_sym_model;23x23;true;9.474;17360;15664952;0.0
CP;dup_rot_sym_model;24x24;true;2.085999;4242;3798154;0.0
CP;dup_rot_sym_model;25x25;true;0.915;1811;1826444;0.0
CP;dup_rot_sym_model;26x26;true;11.858;18553;16727462;0.0
CP;dup_rot_sym_model;27x27;true;76.31;90225;110792895;0.0
CP;dup_rot_sym_model;28x28;true;8.492;10046;13668416;0.0
CP;dup_rot_sym_model;29x29;true;18.408;23712;30221339;0.0
CP;dup_rot_sym_model;30x30;true;1.337;1558;1849202;0.0
CP;dup_rot_sym_model;31x31;true;10.415;16441;16012085;0.0
CP;dup_rot_sym_model;32x32;true;120.591;124091;198341744;0.0
CP;dup_rot_sym_model;33x33;true;1.227;1804;2694263;0.0
CP;dup_rot_sym_model;34x34;true;15.616;17082;22890425;0.0
CP;dup_rot_sym_model;35x35;true;18.245;20540;25953977;0.0
CP;dup_rot_sym_model;36x36;true;13.237;15788;20839347;0.0
CP;dup_rot_sym_model;37x37;true;46.591;59444;69157510;0.0
CP;dup_rot_sym_model;38x38;true;1.172;1794;2453420;0.0
CP;dup_rot_sym_model;39x39;true;3892.11;6450084;8859613257;0.0
CP;dup_rot_sym_model;40x40;true;42.941;48634;62681215;0.0
CP;dup_rot_sym_model;rotation_test;true;0.0;4;439;0.0
CP;base_global_model;8x8;true;0.0;5;102;0.0
CP;base_global_model;9x9;true;0.0;6;214;0.0
