method;model;instance;sat;time;nodes;propagations;memory
SMT;dup_rot_sym_model;28x28;true;165.946;106601;27551163;437.95
SMT;dup_rot_sym_model;29x29;true;7856.315;2871922;1458673854;3154.48
SMT;dup_rot_sym_model;30x30;true;251.008;191001;53725970;159.64
SMT;dup_rot_sym_model;31x31;true;148.78;118786;38472728;126.05
SMT;dup_rot_sym_model;33x33;true;1583.334;911136;356135868;830.96
SMT;dup_rot_sym_model;34x34;true;78.387;59442;16968588;94.06
SMT;dup_rot_sym_model;35x35;true;806.102;427925;161700074;360.5
SMT;dup_rot_sym_model;36x36;true;4323.497;1098129;474865075;808.42
SMT;dup_rot_sym_model;38x38;true;1022.811;638850;273120894;464.22
SMT;dup_rot_sym_model;40x40;true;467.843;257374;107572816;248.37
SMT;dup_rot_sym_model;rotation_test;true;0.015;72;230;3.4
SAT;base_model;8x8;true;0.024;5;352;3.61
SAT;base_model;9x9;true;0.047;5;562;4.38
SAT;base_model;10x10;true;0.0302;35;4529;6.22
SAT;base_model;11x11;true;0.081;131;6394;9.11
SAT;base_model;12x12;true;0.558;4854;707773;15.78
SAT;base_model;13x13;true;0.278;10;2339;17.86
SAT;base_model;14x14;true;0.305;25;3582;20.72
SAT;base_model;15x15;true;0.419;10;3346;28.46
SAT;base_model;16x16;true;1.255;7074;1282930;50.45
SAT;base_model;17x17;true;0.893;11;5421;52.21
SAT;base_model;18x18;true;1.63;14;8421;100.41
SAT;base_model;19x19;true;27.63;288683;29385116;186.14
SAT;base_model;20x20;true;9.644;101838;14410029;180.39
SAT;base_model;21x21;true;40.285;457133;55916656;286.75
SAT;base_model;22x22;true;7.482;139013;9572398;281.03
SAT;base_model;23x23;true;596.789;1962511;534675767;712.11
SAT;base_model;24x24;true;3.612;19;16426;269.93
SAT;base_model;25x25;true;355.417;1233566;346485749;775.68
SAT;base_model;26x26;true;2717.499;5767742;1971230196;1496.34
SAT;base_model;27x27;true;8.523;21;24446;536.8
SAT;base_model;28x28;true;1955.297;4521694;1098468605;1405.66
SAT;base_model;29x29;true;12.385;24;33032;846.01
SAT;base_model;30x30;true;11.579;21;29327;775.68
SAT;base_model;31x31;true;11.336;19;29474;735.9
SAT;base_model;32x32;true;22.7;25;44554;1224.89
SAT;base_model;33x33;true;683.633;1656979;440157987;2502.96
SAT;base_model;34x34;true;14.357;136;43197;1219.28
SAT;base_model;35x35;true;5371.53716;5614518;3015411866;3903.33
SAT;base_model;rotation_test;false;-;-;-;-
SAT;rot_model;8x8;true;0.037;8;415;3.82
SAT;rot_model;9x9;true;0.046;78;8296;5.0
SAT;rot_model;10x10;true;0.096;10;1058;7.31
SAT;rot_model;11x11;true;1.336;25819;1886066;17.96
SAT;rot_model;12x12;true;1.241;11885;1482243;24.42
SAT;rot_model;13x13;true;0.465;570;50431;24.42
SAT;rot_model;14x14;true;0.467;17;3480;29.27
SAT;rot_model;15x15;true;2.045;18647;2073013;61.69
SAT;rot_model;16x16;true;0.562;22;5281;52.69
SAT;rot_model;17x17;true;0.898;18;7211;79.34
SAT;rot_model;18x18;true;467.522;1097488;187844275;735.21
SAT;rot_model;19x19;true;387.664;1306371;210803782;527.34
SAT;rot_model;20x20;true;14.767;89894;10694194;270.75
SAT;rot_model;21x21;true;653.199;550390;142891870;715.16
SAT;rot_model;22x22;true;113.897;900909;80151061;646.74
SAT;rot_model;23x23;true;1596.384;3283977;466713462;1315.57
SAT;rot_model;24x24;true;7.107;30;21654;735.21
SAT;rot_model;25x25;true;1864.234;2706699;540926199;1507.51
SAT;rot_model;29x29;true;23.027;39;44601;1507.51
SAT;rot_model;rotation_test;true;0.014;34;298;2.85
